epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,795.855,0.85898,0.43259,0.90005,0.97205,0.98877,0.99293,0.7885,0.7958,0.38818,0.88117,0.00011359,0.00011359,0.00011359
58,810.053,0.84268,0.42577,0.89145,0.97232,0.99111,0.99253,0.78945,0.78362,0.38083,0.87835,0.000109011,0.000109011,0.000109011
59,824.151,0.8454,0.42541,0.88767,0.96461,0.99286,0.99309,0.78886,0.78641,0.38145,0.87782,0.000104433,0.000104433,0.000104433
60,838.353,0.85192,0.42625,0.89316,0.96351,0.99335,0.99332,0.78901,0.78709,0.3832,0.8792,9.98537e-05,9.98537e-05,9.98537e-05
61,852.636,0.84186,0.42197,0.889,0.92945,0.99554,0.99321,0.78147,0.81173,0.38391,0.885,9.5275e-05,9.5275e-05,9.5275e-05
62,867.717,0.82629,0.41285,0.89101,0.90339,0.99714,0.99307,0.78367,0.79836,0.38148,0.88289,9.06963e-05,9.06963e-05,9.06963e-05
63,881.808,0.83864,0.41966,0.89173,0.92838,0.99557,0.99345,0.79414,0.76456,0.3711,0.87324,8.61175e-05,8.61175e-05,8.61175e-05
64,896.42,0.83077,0.41379,0.88687,0.94213,0.99502,0.99344,0.79778,0.76836,0.37013,0.87373,8.15388e-05,8.15388e-05,8.15388e-05
65,910.521,0.82763,0.41365,0.88531,0.95219,0.99441,0.99336,0.79623,0.76948,0.3713,0.87374,7.696e-05,7.696e-05,7.696e-05
66,924.63,0.82958,0.41682,0.88652,0.9539,0.99479,0.99374,0.80031,0.75601,0.36554,0.8715,7.23813e-05,7.23813e-05,7.23813e-05
67,938.898,0.81158,0.40801,0.88081,0.95605,0.99603,0.99353,0.80463,0.7502,0.36589,0.87056,6.78025e-05,6.78025e-05,6.78025e-05
68,953.103,0.8277,0.41374,0.88912,0.94686,0.9967,0.9936,0.79934,0.74155,0.363,0.86702,6.32237e-05,6.32237e-05,6.32237e-05
69,967.281,0.80812,0.40797,0.8781,0.95135,0.99632,0.99358,0.80426,0.74676,0.36266,0.86892,5.8645e-05,5.8645e-05,5.8645e-05
70,981.363,0.8144,0.40812,0.88095,0.95216,0.99595,0.99362,0.80505,0.75542,0.36349,0.86918,5.40662e-05,5.40662e-05,5.40662e-05
71,1016.54,0.8245,0.41544,0.88991,0.96025,0.9894,0.99289,0.78555,0.82009,0.39437,0.88975,4.94875e-05,4.94875e-05,4.94875e-05
72,1031.65,0.79836,0.3959,0.88972,0.96942,0.99096,0.99346,0.79409,0.79028,0.37904,0.88143,4.49088e-05,4.49088e-05,4.49088e-05
73,1046.29,0.78679,0.38718,0.88086,0.96998,0.99032,0.9938,0.79404,0.78261,0.37675,0.87756,4.033e-05,4.033e-05,4.033e-05
74,1061.88,0.78112,0.38878,0.88128,0.96598,0.99315,0.99378,0.7997,0.78015,0.3747,0.87719,3.57513e-05,3.57513e-05,3.57513e-05
75,1077.19,0.77862,0.38686,0.8809,0.96685,0.9935,0.99378,0.79392,0.77142,0.37039,0.87418,3.11725e-05,3.11725e-05,3.11725e-05
76,1091.94,0.76678,0.38005,0.87945,0.97159,0.99189,0.99376,0.79625,0.77478,0.37054,0.87524,2.65937e-05,2.65937e-05,2.65937e-05
77,1106.91,0.75932,0.37942,0.87816,0.9772,0.99146,0.99392,0.80455,0.76009,0.36604,0.87129,2.2015e-05,2.2015e-05,2.2015e-05
78,1122.19,0.7549,0.37731,0.87204,0.977,0.99063,0.99395,0.80065,0.75873,0.36526,0.87129,1.74362e-05,1.74362e-05,1.74362e-05
79,1137.95,0.75244,0.37758,0.87398,0.97715,0.98893,0.99392,0.80223,0.76374,0.36709,0.87238,1.28575e-05,1.28575e-05,1.28575e-05
80,1153.81,0.7636,0.37864,0.87132,0.97829,0.98744,0.99395,0.80476,0.75672,0.36544,0.87077,8.27875e-06,8.27875e-06,8.27875e-06
